imdb_id,title,Comment
tt15239678,Dune: Part Two,already exists in database,already exists in database
tt13751694,Animal,already exists in database,already exists in database
tt1562871,Ra.One,already exists in database,already exists in database
tt4383594,Nine Lives,already exists in database,already exists in database
tt2953050,Encanto,already exists in database,already exists in database
tt0795351,Case 39,movie was fetched and saved,already exists in database
tt4954522,Raw,movie was fetched and saved,already exists in database
tt0314331,Love Actually,movie was fetched and saved,already exists in database
tt1637706,Our Idiot Brother,movie was fetched and saved,already exists in database
tt1389139,When the Bough Breaks,movie was fetched and saved,already exists in database
tt0093036,Flowers in the Attic,movie was fetched and saved,already exists in database
tt1341167,Four Lions,movie was fetched and saved,already exists in database
tt2350892,Bad Country,movie was fetched and saved,already exists in database
tt0446029,Scott Pilgrim vs. the World,movie was fetched and saved,already exists in database
tt2281587,Muppets Most Wanted,movie was fetched and saved,already exists in database
tt2531344,Blockers,movie was fetched and saved,already exists in database
tt2024469,Non-Stop,movie was fetched and saved,already exists in database
tt1197628,Observe and Report,movie was fetched and saved,already exists in database
tt3322940,Annabelle,movie was fetched and saved,already exists in database
tt2084989,Upstream Color,movie was fetched and saved,already exists in database
tt1213644,Disaster Movie,movie was fetched and saved,already exists in database
tt1590193,The Commuter,movie was fetched and saved,already exists in database
tt0361748,Inglourious Basterds,movie was fetched and saved,already exists in database
tt0464154,Piranha 3D,movie was fetched and saved,already exists in database
tt0989757,Dear John,movie was fetched and saved,already exists in database
tt0498399,We Own the Night,movie was fetched and saved,already exists in database
tt6079516,I See You,movie was fetched and saved,already exists in database
tt0795438,Not Easily Broken,movie was fetched and saved,already exists in database
tt1964418,Tomorrowland,movie was fetched and saved,already exists in database
tt0829482,Superbad,movie was fetched and saved,already exists in database
tt3722070,The Lady in the Van,movie was fetched and saved,already exists in database
tt2267998,Gone Girl,movie was fetched and saved,already exists in database
tt1187064,Triangle,movie was fetched and saved,already exists in database
tt0480249,I Am Legend,movie was fetched and saved,already exists in database
tt5436228,Woman Walks Ahead,movie was fetched and saved,already exists in database
tt0252866,American Pie 2,movie was fetched and saved,already exists in database
tt3231054,Risen,movie was fetched and saved,already exists in database
tt4651520,Bad Moms,movie was fetched and saved,already exists in database
tt0164184,The Sum of All Fears,movie was fetched and saved,already exists in database
tt7312940,Singularity,movie was fetched and saved,already exists in database
tt0297284,Mindhunters,movie was fetched and saved,already exists in database
tt1814621,Admission,movie was fetched and saved,already exists in database
tt0119282,Hercules,movie was fetched and saved,already exists in database
tt2752772,Sinister 2,movie was fetched and saved,already exists in database
tt1124037,Free State of Jones,movie was fetched and saved,already exists in database
tt0762107,I Now Pronounce You Chuck & Larry,movie was fetched and saved,already exists in database
tt0090756,Blue Velvet,movie was fetched and saved,already exists in database
tt1411238,No Strings Attached,movie was fetched and saved,already exists in database
tt2784678,Top Five,movie was fetched and saved,already exists in database
tt0335266,Lost in Translation,movie was fetched and saved,already exists in database
tt1792647,Cirque du Soleil: Worlds Away,movie was fetched and saved,already exists in database
tt1655441,The Age of Adaline,movie was fetched and saved,already exists in database
tt3553976,Captain Fantastic,movie was fetched and saved,already exists in database
tt5294966,After the Storm,movie was fetched and saved,already exists in database
tt0480687,Hall Pass,movie was fetched and saved,already exists in database
tt1781922,No Escape,movie was fetched and saved,already exists in database
tt7046826,The Mimic,movie was fetched and saved,already exists in database
tt1667353,Mirror Mirror,movie was fetched and saved,already exists in database
tt2625810,Into the Forest,movie was fetched and saved,already exists in database
tt0402399,The New World,movie was fetched and saved,already exists in database
tt0388125,In Her Shoes,movie was fetched and saved,already exists in database
tt4555426,Darkest Hour,movie was fetched and saved,already exists in database
tt0486946,Wild Hogs,movie was fetched and saved,already exists in database
tt2333784,The Expendables 3,movie was fetched and saved,already exists in database
tt3335606,Berlin Syndrome,movie was fetched and saved,already exists in database
tt0765443,Eastern Promises,movie was fetched and saved,already exists in database
tt1053810,The Big Year,movie was fetched and saved,already exists in database
tt1666801,The DUFF,movie was fetched and saved,already exists in database
tt0795421,Mamma Mia!,movie was fetched and saved,already exists in database
tt0421715,The Curious Case of Benjamin Button,movie was fetched and saved,already exists in database
tt1666186,Vampires Suck,movie was fetched and saved,already exists in database
tt3063516,Jackass Presents: Bad Grandpa,movie was fetched and saved,already exists in database
tt1856101,Blade Runner 2049,movie was fetched and saved,already exists in database
tt3569230,Legend,movie was fetched and saved,already exists in database
tt0473705,State of Play,movie was fetched and saved,already exists in database
tt2101473,The Physician,movie was fetched and saved,already exists in database
tt2316204,Alien: Covenant,movie was fetched and saved,already exists in database
tt1623205,Oz the Great and Powerful,movie was fetched and saved,already exists in database
tt2172985,The Art of the Steal,movie was fetched and saved,already exists in database
tt0405296,A Scanner Darkly,movie was fetched and saved,already exists in database
tt0317219,Cars,movie was fetched and saved,already exists in database
tt0926084,Harry Potter and the Deathly Hallows: Part 1,movie was fetched and saved,already exists in database
tt1800241,American Hustle,movie was fetched and saved,already exists in database
tt1667310,Deadfall,movie was fetched and saved,already exists in database
tt8347960,Breath,movie was fetched and saved,already exists in database
tt0107290,Jurassic Park,movie was fetched and saved,already exists in database
tt3503406,The Whole Truth,movie was fetched and saved,already exists in database
tt2172584,Maps to the Stars,movie was fetched and saved,already exists in database
tt0272338,Punch-Drunk Love,movie was fetched and saved,already exists in database
tt0427392,The Invasion,movie was fetched and saved,already exists in database
